data_year,victim_id,offense_id
2024,205718550,220153308
2024,205718551,220153309
2024,207822727,222268297
2024,210063831,224538238
2024,210063832,224538239
2024,210063833,224538240
2024,210063834,224538241
2024,210063835,224538242
2024,210063836,224538243
2024,210063837,224538244
2024,210063838,224538245
2024,210063839,224538246
2024,210063840,224538247
2024,210063841,224538248
2024,210063842,224538249
2024,210063843,224538250
2024,210063844,224538251
2024,210063845,224538252
2024,210063846,224538253
2024,210063847,224538254
2024,210063848,224538255
2024,210063849,224538256
2024,210063850,224538256
2024,210063851,224538257
2024,210063852,224538258
2024,210063853,224538259
2024,210063853,224538260
2024,210063854,224538261
2024,210063855,224538262
2024,210063856,224538263
2024,210063857,224538264
2024,210063858,224538265
2024,210063859,224538266
2024,210063860,224538267
2024,210063861,224538267
2024,210063862,224538268
2024,210063862,224538269
2024,210063863,224538268
2024,210063864,224538270
2024,210063865,224538271
2024,210063866,224538272
2024,210063867,224538273
2024,210063868,224538274
2024,210063869,224538274
2024,210063870,224538275
2024,210063871,224538276
2024,210063872,224538277
2024,210063873,224538278
2024,210063874,224538279
2024,210063875,224538280
2024,210063876,224538281
2024,210063877,224538282
2024,210063878,224538283
2024,210063879,224538284
2024,210063880,224538285
2024,210063881,224538286
2024,210063882,224538287
2024,210063883,224538288
2024,210063884,224538288
2024,210063885,224538289
2024,210063886,224538289
2024,210063887,224538290
2024,210063888,224538291
2024,210063889,224538292
2024,217394262,231872555
2024,210063891,224538294
2024,210063892,224538295
2024,210063893,224538296
2024,210063893,224538297
2024,210063894,224538298
2024,210063895,224538298
2024,210063896,224538299
2024,210063897,224538300
2024,210063898,224538301
2024,210063899,224538301
2024,210063900,224538302
2024,210063901,224538303
2024,210063902,224538304
2024,210063903,224538305
2024,210063904,224538306
2024,210063905,224538307
2024,210063906,224538308
