data_year,victim_id,injury_id
2024,207823099,5
2024,207823100,4
2024,209784107,5
2024,207823102,5
2024,207823105,5
2024,207823110,5
2024,207823112,4
2024,213370402,5
2024,207823119,5
2024,207823122,4
2024,207823131,5
2024,209784110,5
2024,213370403,5
2024,215085151,5
2024,207823139,4
2024,207823140,5
2024,215085152,5
2024,215085153,5
2024,215085154,5
2024,209784111,5
2024,207823144,5
2024,215085155,5
2024,215085156,5
2024,207823150,4
2024,207823153,5
2024,207823154,5
2024,207823155,5
2024,207823157,5
2024,209784112,4
2024,209784113,4
2024,209784115,4
2024,207823165,5
2024,207823166,4
2024,209784116,5
2024,207823172,5
2024,213370404,5
2024,213370405,5
2024,213370406,5
2024,207823184,5
2024,207823185,5
2024,207823186,4
2024,207823187,5
2024,207823188,5
2024,219161110,5
2024,207823195,5
2024,207823203,5
2024,207823204,5
2024,207823207,5
2024,207823210,4
2024,207823213,5
2024,207823214,5
2024,207823215,4
2024,207823216,5
2024,207823218,4
2024,207823227,5
2024,213370407,4
2024,207823236,5
2024,209784124,4
2024,207823247,5
2024,219161113,5
2024,219161114,5
2024,209784125,5
2024,207823258,4
2024,207823259,4
2024,232382408,5
2024,232382409,5
2024,232382410,5
2024,207823266,4
2024,209784133,5
2024,209784134,5
2024,207823269,5
2024,207823270,4
2024,213370408,4
2024,213370409,5
2024,207823277,3
2024,207823278,4
2024,209784137,4
2024,209784139,5
2024,209784140,4
2024,209784141,4
2024,207823280,4
2024,207823282,5
2024,207823294,5
2024,207823295,5
2024,213370410,5
2024,207823300,5
2024,207823303,5
2024,207823304,5
2024,209784146,5
2024,209784147,5
2024,211422180,5
2024,207823314,4
2024,211457381,5
2024,211457382,5
2024,207823316,5
2024,209784170,4
2024,209784173,5
2024,209784174,5
2024,209784175,5
2024,209784177,6
2024,209784178,2
2024,209784178,4
2024,209784179,4
2024,209784180,4
2024,209784191,4
2024,228391680,5
2024,228391681,4
2024,228391682,4
2024,209784205,4
2024,211422227,5
2024,211422228,5
2024,209784225,5
2024,209784241,4
2024,209784245,5
2024,209784294,5
2024,206563131,5
2024,206563132,5
2024,206563133,5
2024,206563134,5
2024,206563136,4
2024,208347340,5
2024,210068179,5
2024,212062366,4
2024,214143694,5
2024,214143697,4
2024,214143698,4
2024,214143700,4
2024,219390812,4
2024,219390819,4
2024,219390820,5
2024,219390821,5
2024,219390823,4
2024,223103690,1
2024,223103691,4
2024,225162241,5
2024,225162243,4
2024,225162244,1
2024,225162245,5
2024,225162247,5
2024,206485828,5
2024,206485840,5
2024,206485842,5
2024,206485851,4
2024,206485860,4
2024,206485872,5
2024,206485873,4
2024,206485878,5
2024,206485882,5
2024,206485896,5
2024,206485897,5
2024,206485898,5
2024,206485903,4
2024,206485905,5
2024,206485906,4
2024,206485911,4
2024,206485913,5
2024,206485915,5
2024,206485916,5
2024,206485917,5
2024,206485921,4
2024,206485930,5
2024,206485936,4
2024,206485948,4
2024,206485950,5
2024,206485951,4
2024,206485952,4
2024,206485966,5
2024,206485972,4
2024,206485981,5
2024,206485992,5
2024,206485994,4
2024,206485998,5
2024,206486001,4
2024,206486004,5
2024,206486007,5
2024,206486009,4
2024,206486011,4
2024,206486018,4
2024,206486019,4
2024,206486022,4
2024,206486026,4
2024,206486029,5
2024,206486033,5
2024,206485679,5
2024,206485680,5
2024,206485687,5
2024,206485691,4
2024,206485725,5
2024,208442163,4
2024,208442164,4
2024,206485742,4
2024,206485744,5
2024,206485754,4
2024,206485756,4
2024,206485758,5
2024,206485766,5
2024,206485770,5
2024,208442177,5
2024,208442186,4
2024,208442187,1
2024,208442187,3
2024,208442187,6
2024,208442188,4
2024,208442189,4
2024,208442193,5
2024,208442194,4
2024,208442196,5
2024,208442197,4
2024,208442207,4
2024,208442211,5
2024,208442215,4
2024,208442216,4
2024,208442224,4
2024,208442229,5
2024,208442230,5
2024,208442234,5
2024,208442250,4
2024,208442251,4
2024,208442253,4
2024,208442262,4
2024,208442266,5
2024,208442270,5
2024,208442273,5
2024,208442275,5
2024,208442277,5
2024,208442280,5
2024,217394259,4
2024,208442293,4
2024,208442308,5
2024,208442313,5
2024,208442316,4
2024,208442318,4
2024,208442327,4
2024,208442329,5
2024,208442331,5
2024,208442332,5
2024,208442340,5
2024,208442341,5
2024,208442342,5
2024,208442343,5
2024,208442346,5
2024,208442350,5
2024,217394261,5
2024,208442353,4
2024,208442362,5
2024,208442364,5
2024,208442366,4
2024,208442380,5
2024,208442382,6
2024,208442384,5
