yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
128332024,12833,2024,NM0250000,NM0250000,,N,N,,I,SAN MIGUEL,SAN MIGUEL CO SO LAS VEGAS,San Miguel,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,13913,25186,NMUCR0001,New Mexico Department of Public Safety,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,8,2,10,1,3,4,0.6,1.0,2018-01-01,2021-06-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,SAN MIGUEL,Not Specified,Y,Y,Y
128342024,12834,2024,NM0250100,NM0250100,,N,N,,I,LAS VEGAS,LAS VEGAS PD,Las Vegas,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,12816,25186,NMUCR0001,New Mexico Department of Public Safety,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,6,31,1,9,10,2.0,3.2,2018-01-01,2021-01-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,SAN MIGUEL,Not Specified,Y,Y,Y
128372024,12837,2024,NM0260000,NM0260000,,N,N,,I,SANTA FE,SANTA FE CO SO SANTA FE,Santa Fe,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,58404,25186,NMUCR0001,New Mexico Department of Public Safety,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2018-01-01,2021-10-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,SANTA FE,"Santa Fe, NM",Y,Y,Y
128382024,12838,2024,NM0260100,NM0260100,,N,N,,I,SANTA FE,SANTA FE POLICE DEPARTMENT,Santa Fe,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,89652,25186,NMUCR0001,New Mexico Department of Public Safety,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,N,,,,,,,,,2018-01-01,2021-01-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,SANTA FE,"Santa Fe, NM",Y,Y,Y
128412024,12841,2024,NM0260700,NM0260700,,Y,N,,I,TESUQUE PUEBLO,TESUQUE PUEBLO PD SANTA FE,Tesuque Pueblo,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,Tribal,0,32657,NM0260700,Tesuque Pueblo,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,4,10,2,3,5,0,0,2021-01-01,2021-01-01,2021-01-01,2021-03-01,2021-03-01,2021-03-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
128432024,12843,2024,NM0261200,NM0261200,,N,N,,I,EDGEWOOD,EDGEWOOD POLICE DEPARTMENT,Edgewood,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,6113,25186,NMUCR0001,New Mexico Department of Public Safety,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2018-01-01,2021-02-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,"BERNALILLO, SANTA FE","Albuquerque, NM",Y,Y,Y
128442024,12844,2024,NM0270000,NM0270000,,N,N,,I,SIERRA,SIERRA CO SO TRUTH OR CONSEQUENCES,Sierra,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,5570,25186,NMUCR0001,New Mexico Department of Public Safety,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,13,1,14,0,3,3,2.3,3.1,2018-01-01,2020-11-01,2020-11-01,2020-11-01,2020-11-01,2022-09-01,N,SIERRA,Not Specified,Y,Y,Y
128452024,12845,2024,NM0270100,NM0270100,,N,N,,I,TRUTH OR CONSEQUENCES,TRUTH OR CONSEQUENCES PD,Truth or Consequences,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,5985,25186,NMUCR0001,New Mexico Department of Public Safety,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,1,15,1,3,4,2.5,3.2,2018-01-01,2020-08-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,SIERRA,Not Specified,Y,Y,Y
128462024,12846,2024,NM0280000,NM0280000,,N,N,,I,SOCORRO,SOCORRO CO SO SOCORRO,Socorro,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,6871,25186,NMUCR0001,New Mexico Department of Public Safety,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,,,2018-01-01,2020-01-01,2020-01-01,2021-01-01,2021-01-01,2022-10-01,N,SOCORRO,Not Specified,Y,Y,Y
128482024,12848,2024,NM0280200,NM0280200,,N,N,,I,MAGDALENA,MAGDALENA PD,Magdalena,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,770,25186,NMUCR0001,New Mexico Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,2,2,3.9,6.5,2018-01-01,2021-01-01,2023-02-01,2023-02-01,2023-02-01,2023-02-01,N,SOCORRO,Not Specified,Y,Y,Y
