data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,206485987,211418581,17,
2024,206485989,211418583,14,
2024,206485990,211418584,24,
2024,206485992,211418586,24,
2024,206485993,211418587,24,
2024,206485994,211418588,9,
2024,206485998,211418592,16,
2024,206485999,211418593,16,
2024,206486000,211418593,16,
2024,206486001,211418594,13,
2024,206486003,211418596,15,
2024,208442158,213357462,18,
2024,206486006,211418599,24,
2024,206486007,211418600,24,
2024,206486008,211418601,16,
2024,206486009,211418602,3,
2024,206486010,211418603,3,
2024,206486011,211418604,3,
2024,206486011,211418605,18,
2024,206486012,211418606,26,
2024,206486019,211418612,21,
2024,206486020,211418613,16,
2024,206486022,211418615,21,
2024,206486023,211418616,26,
2024,206486026,211418619,16,
2024,206486029,211418622,1,
2024,206486029,211418623,1,
2024,206486033,211418626,3,
2024,206486036,211418629,16,
2024,206486038,211418631,14,
2024,206486041,211418634,24,
2024,206485679,211418288,15,
2024,206485680,211418289,1,
2024,206485686,211418295,18,
2024,206485687,211418296,1,
2024,206485688,211418297,17,
2024,206485689,211418298,7,
2024,206485690,211418299,9,
2024,206485691,211418300,9,
2024,206485705,211418314,16,
2024,206485706,211418315,26,
2024,206485710,211418319,14,
2024,206485711,211418319,14,
2024,206485712,211418320,1,
2024,206485721,211418332,14,
2024,206485725,211418335,16,
2024,208442163,213357469,3,
2024,208442164,213357469,20,
2024,208442165,213357470,18,
2024,208442165,213357471,18,
2024,206485739,211418347,24,
2024,206485742,211418350,26,
2024,206485744,211418352,1,
2024,208442168,213357475,24,
2024,206485754,211418361,1,
2024,206485756,211418363,1,
2024,206485757,211418364,20,
2024,206485758,211418365,26,
2024,206485759,211418366,18,
2024,206485761,211418368,13,
2024,206485762,211418368,16,
2024,206485765,211418371,24,
2024,206485766,211418372,5,
2024,206485767,211418373,1,
2024,206485770,211418376,24,
2024,219260917,224110944,9,
2024,208442182,213357489,18,
2024,208442186,213357492,6,
2024,208442187,213357493,18,
2024,208442187,213357494,18,
2024,208442187,213357495,18,
2024,208442187,213357496,18,
2024,208442187,213357497,18,
2024,208442187,213357498,18,
2024,208442188,213357499,9,
2024,208442189,213357499,9,
2024,208442193,213357503,24,
2024,208442194,213357504,16,
2024,208442196,213357506,1,
2024,208442197,213357507,1,
2024,208442207,213357513,3,
2024,208442210,213357516,26,
2024,208442210,213357517,16,
2024,208442211,213357518,24,
2024,208442214,213357521,3,
2024,208442215,213357522,17,
2024,208442216,213357522,17,
2024,208442218,213357524,26,
2024,208442219,213357525,16,
2024,208442220,213357526,17,
2024,208442223,213357529,14,
2024,208442224,213357530,13,
2024,208442228,213357533,16,
2024,208442229,213357534,1,
2024,208442236,213357541,9,
2024,210063792,214966556,1,
2024,208442241,213357546,3,
2024,208442244,213357549,7,
2024,208442249,213357554,1,
2024,208442250,213357555,16,
2024,208442251,213357556,16,
2024,208442253,213357558,1,
2024,208442256,213357560,26,
2024,208442257,213357561,15,
2024,208442259,213357563,16,
2024,208442261,213357565,14,
2024,208442262,213357565,18,
2024,208442264,213357567,26,
2024,208442270,213357572,26,
2024,208442273,213357575,20,
2024,208442275,213357577,16,
2024,208442277,213357579,16,
2024,208442280,213357582,15,
2024,208442281,213357583,26,
2024,208442284,213357586,24,
2024,208442285,213357587,11,
2024,208442286,213357588,16,
2024,208442287,213357589,3,
2024,208442288,213357590,9,
2024,217394259,222256579,3,
2024,208442291,213357592,1,
2024,208442293,213357594,21,
2024,208442304,213357605,15,
2024,208442315,213357616,16,
2024,208442316,213357617,26,
2024,208442318,213357620,3,
2024,208442320,213357622,14,
2024,208442327,213357628,17,
2024,208442329,213357630,21,
2024,208442329,213357631,16,
2024,208442330,213357630,16,
2024,208442330,213357631,16,
2024,208442331,213357632,14,
2024,208442331,213357633,18,
2024,208442331,213357634,18,
2024,208442331,213357635,18,
2024,208442331,213357636,18,
2024,208442332,213357637,17,
2024,208442335,213357640,18,
2024,208442336,213357640,18,
2024,208442337,213357641,16,
2024,208442346,213357647,3,
2024,208442348,213357649,19,
2024,208442349,213357650,16,
2024,208442352,213357653,15,
2024,208442353,213357654,3,
2024,208442354,213357655,9,
2024,208442355,213357655,16,
2024,208442359,213357659,17,
2024,208442362,213357662,26,
2024,208442363,213357663,17,
2024,208442364,213357664,17,
2024,208442365,213357665,16,
2024,208442366,213357666,9,
2024,208442370,213357670,18,
2024,208442373,213357673,15,
2024,208442374,213357674,26,
2024,210063796,214966560,15,
2024,210063798,214966561,18,
2024,210063799,214966561,18,
2024,208442380,213357679,17,
2024,208442381,213357680,17,
2024,208442382,213357681,3,
2024,208442384,213357683,18,
2024,208442385,213357684,14,
2024,208442387,213357686,26,
