data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2024,180138560,63,1,,
2024,180138561,3,1,,
2024,180138562,35,200,,
2024,180138564,63,1,,
2024,180138567,3,1,2024-01-15,
2024,180138569,50,6,,
2024,180138570,24,2500,,
2024,180138571,63,75,,
2024,180138572,23,30,,
2024,180138572,38,18,,
2024,180138573,6,470,,
2024,180138573,61,1050,,
2024,180138574,3,1,,
2024,180138576,2,34,,
2024,180138577,47,0,,
2024,180138577,63,0,,
2024,180138578,47,0,,
2024,180138578,63,350,,
2024,180138579,3,4000,2024-01-16,
2024,180138580,63,1107,,
2024,180138581,20,15000,,
2024,180138583,10,,,
2024,180138584,15,200,,
2024,180138585,20,300,,
2024,180138586,63,10000,,
2024,180138587,63,62,,
2024,180138588,3,1,,
2024,180138589,3,1,2024-01-17,
2024,180138590,3,1,2024-01-17,
2024,180138591,3,1,,
2024,180138592,37,100,,
2024,180138593,63,200,,
2024,180138595,10,,,
2024,180138596,3,1,,
2024,180138597,3,1,2024-01-18,
2024,180138598,3,1,,
2024,180138599,3,1,,
2024,180138600,63,1,,
2024,180138601,6,400,,
2024,180138601,25,1,,
2024,180138601,36,500,,
2024,180138602,3,100,2024-01-19,
2024,180138604,3,1,2024-01-19,
2024,180138605,42,400,,
2024,180138606,63,150,,
2024,180138607,8,40,,
2024,180138608,28,13871,,
2024,180138609,63,1,,
2024,180138610,63,1,,
2024,181613640,36,2452,,
2024,180138612,3,1,,
2024,180138613,63,1,,
2024,180138614,16,1,,
2024,180138615,29,50,,
2024,180138616,3,1,2024-01-22,
2024,180138617,3,1,,
2024,180138618,7,100,,
2024,180138618,25,120,,
2024,180138619,63,5000,,
2024,180138620,8,75,,
2024,180138621,7,640,,
2024,180138621,25,700,,
2024,180138621,36,470,,
2024,180138622,63,1500,,
2024,180138623,37,2500,,
2024,180138624,63,1,,
2024,180138625,63,200,,
2024,180138626,63,800,,
2024,180138627,61,150,,
2024,180138628,3,500,,
2024,180138628,38,200,,
2024,180138629,24,1,,
2024,180138630,63,1,,
2024,180138631,9,0,,
2024,180138631,47,0,,
2024,180138631,61,150,,
2024,180138631,63,2,,
2024,180138632,30,200,,
2024,180138633,38,1500,,
2024,180138637,16,60,,
2024,180138637,20,1300,,
