data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,17,189482743,1.000,9,18534523
2024,12,189482748,0.500,1,18534524
2024,8,189482748,35.000,9,18534525
2024,8,189482752,12.000,9,18534526
2024,8,187880740,23.000,9,18292560
2024,12,187880740,1.100,3,18292561
2024,12,189482754,1.000,11,18534527
2024,8,189482757,1.000,9,18534528
2024,12,189482759,50.000,1,18534529
2024,8,189482765,5.000,9,18534530
2024,12,189482765,1.400,1,18534531
2024,8,189482770,1.000,9,18534532
2024,12,189482782,10.000,1,18534533
2024,8,189482782,108.000,1,18534534
2024,8,189482785,3.000,9,18534535
2024,8,189482786,2.000,9,18534536
2024,8,189482787,5.000,9,18534537
2024,8,189482788,1.000,1,18534538
2024,8,189482789,50.000,9,18534539
2024,15,189482791,6.700,1,18534540
2024,8,189482791,6.200,1,18534541
2024,12,189482805,1.400,1,18534543
2024,8,189482807,12.000,9,18534544
2024,12,189482807,1.000,1,18534545
2024,8,189482814,317.000,9,18534547
2024,12,189482814,6.000,1,18534548
2024,8,189482816,41.000,9,18534550
2024,8,189482821,50.000,9,18534552
2024,8,189482846,14.000,1,18534556
2024,12,189482848,36.200,1,18534557
2024,12,189482855,3.000,1,18534559
2024,12,189482865,18.200,1,18534562
2024,17,194602195,1.000,3,19265920
2024,8,189482874,7.000,9,18534564
2024,12,189482874,1.000,1,18534565
2024,8,189482877,1.000,9,18534568
2024,8,189482880,1.000,9,18534569
2024,8,190411604,400.000,1,18665852
2024,12,190411604,114.600,1,18665853
2024,15,190411604,18.300,1,18665854
2024,8,189482897,24.000,9,18534570
2024,8,190411605,1.000,9,18665855
2024,8,189482082,21.000,9,18534394
2024,17,189482082,1.000,9,18534395
2024,8,190411606,9.000,9,18665856
2024,8,189482097,5.000,1,18534396
2024,12,189482097,17.000,1,18534397
2024,8,189482113,1.000,9,18534399
2024,8,189482123,80.000,9,18534400
2024,12,189482123,7.000,1,18534401
2024,8,189482159,1.000,9,18534402
2024,8,189482161,4.000,9,18534403
2024,12,189482167,0.100,3,18534404
2024,8,189482167,15.000,9,18534405
2024,8,189482188,2.000,9,18534406
2024,8,189482203,5.000,9,18534407
2024,8,189482208,5.000,9,18534408
2024,12,189482210,0.800,1,18534409
2024,8,189482223,2.000,9,18534410
2024,8,189482226,40.000,9,18534411
2024,8,190411610,1.000,9,18665857
2024,12,190411610,1.000,9,18665858
2024,8,189482279,22.000,9,18534415
2024,12,189482279,2.000,1,18534416
2024,8,189482301,1.000,9,18534420
2024,8,189482310,1.000,9,18534421
2024,8,189482312,111.000,9,18534422
2024,8,189482314,4.000,9,18534423
2024,12,189482320,2.000,1,18534424
2024,4,189482320,3.000,1,18534425
2024,8,189482320,10.000,9,18534426
2024,12,189482324,18.000,9,18534427
2024,12,189482325,1.000,1,18534428
2024,8,189482327,31.000,9,18534430
2024,8,194602196,1.000,9,19265921
2024,8,189482342,8.000,9,18534431
2024,8,190411617,125.000,9,18665859
2024,8,189482357,2.000,9,18534433
2024,8,189482367,8.000,9,18534434
2024,8,189482369,4.000,9,18534435
2024,12,189482389,1.000,1,18534441
2024,8,189482391,14.000,9,18534442
2024,2,189482395,5.760,1,18534445
2024,12,189482395,6.050,1,18534446
2024,8,189482412,3.000,9,18534451
2024,8,189482415,13.000,9,18534452
2024,8,189482426,1.000,9,18534456
2024,12,189482444,5.000,1,18534460
2024,8,189482448,1.000,9,18534463
2024,12,189482462,0.400,1,18534466
2024,8,189482464,1.000,9,18534467
2024,12,189482467,4.800,1,18534468
2024,12,189482474,0.230,1,18534470
2024,8,189482480,1.000,9,18534471
2024,12,189482480,1.000,9,18534472
2024,12,189482496,5.600,1,18534473
2024,8,189482496,7.000,9,18534474
2024,8,189482500,1.000,9,18534476
2024,8,189482511,75.000,9,18534477
2024,8,190411634,1.000,9,18665860
2024,8,189482546,6.100,1,18534482
2024,12,189482546,6.500,1,18534483
2024,2,190411647,1.000,1,18665861
2024,2,189482550,1.650,1,18534485
2024,8,190411649,4.000,9,18665862
2024,8,190411652,15.000,9,18665863
2024,8,189482563,55.000,1,18534487
2024,17,189482563,1.000,9,18534488
2024,8,190411660,1.000,9,18665864
2024,8,190411661,1.000,9,18665865
2024,12,190411661,1.000,1,18665866
2024,8,190411662,9.000,9,18665867
2024,12,189482571,1.000,1,18534489
2024,8,190411664,11.000,9,18665868
2024,12,190411677,2.500,1,18665869
2024,8,190411679,1.000,9,18665870
2024,16,190411680,0.700,1,18665871
2024,8,190411683,3.000,9,18665872
2024,12,190411684,2.800,1,18665873
2024,8,190411689,2.000,9,18665874
2024,2,190411691,19.700,1,18665875
2024,8,190411702,1.000,9,18665876
2024,8,190411705,5.000,9,18665877
2024,8,190411713,3.000,9,18665878
2024,17,190411713,1.000,9,18665879
