state_abbr,state_name,county_name,latitude,longitude,Population_2024,Arrests_2024,Violent_Crimes_2024,Property_Crimes_2024,Arrest_Rate,Violent_Crime_Rate,Property_Crime_Rate
VA,Virginia,COVINGTON CITY,37.79127,-79.99537,5522.0,169,10,73.0,3060.485331401666,181.09380659181454,1321.9847881202463
VA,Virginia,CRAIG,37.473129,-80.231734,4869.0,46,2,29.0,944.752515917026,41.07619634421852,595.6048469911686
VA,Virginia,CULPEPER,38.486168,-77.956537,56161.0,2002,44,479.0,3564.751339897794,78.346183294457,852.9050408646569
VA,Virginia,CUMBERLAND,37.520189,-78.252836,9503.0,104,11,28.0,1094.391244870041,115.75292013048511,294.6437966957803
VA,Virginia,"CUMBERLAND, PRINCE EDWARD",37.224881,-78.432957,7477.0,385,42,267.0,5149.1239802059645,561.7226160224689,3570.9509161428377
VA,Virginia,DANVILLE CITY,36.583334,-79.408071,41915.0,3373,153,1198.0,8047.238458785639,365.0244542526542,2858.1653346057496
VA,Virginia,DICKENSON,37.137081,-82.349208,13372.0,419,10,60.0,3133.4131020041877,74.78312892611427,448.69877355668564
VA,Virginia,DINWIDDIE,37.073498,-77.635492,28716.0,313,100,244.0,1089.9846775316896,348.2379161443098,849.7005153921159
VA,Virginia,EMPORIA CITY,36.69264,-77.538704,5426.0,311,58,158.0,5731.662366384076,1068.9273866568376,2911.9056395134535
VA,Virginia,ESSEX,37.93948,-76.941871,10680.0,226,24,125.0,2116.104868913858,224.71910112359552,1170.4119850187267
VA,Virginia,FAIRFAX,38.8686715,-77.2940345,1148467.0,17656,1206,17385.0,1537.3537071591957,105.00954750985446,1513.7570343771306
VA,Virginia,FAIRFAX CITY,38.85312,-77.295586,25672.0,566,33,854.0,2204.7366780928637,128.54471798067934,3326.581489560611
VA,Virginia,FALLS CHURCH CITY,38.88492,-77.1727,14801.0,278,15,225.0,1878.2514694953043,101.34450374974665,1520.1675562461994
VA,Virginia,FAUQUIER,38.7329755,-77.81337225,76487.0,1267,53,362.0,1656.4906454691645,69.29282100226182,473.2830415626185
VA,Virginia,FLOYD,36.921329,-80.33525449999999,15871.0,327,8,49.0,2060.361665931573,50.40640161300485,308.7392098796547
VA,Virginia,FLUVANNA,37.830576,-78.284435,29086.0,349,27,131.0,1199.8899814343672,92.82816475280204,450.3885030598913
VA,Virginia,FRANKLIN,37.0008,-79.88819966666667,56343.0,1493,79,522.0,2649.8411515183784,140.21262623573472,926.4682391778925
VA,Virginia,FRANKLIN CITY,36.662148,-76.91937,8469.0,688,39,216.0,8123.745424489313,460.5030109812256,2550.4782146652497
VA,Virginia,FREDERICK,39.115095600000004,-78.2337072,98166.0,1899,76,931.0,1934.4783326202555,77.41988061039464,948.3935374773343
VA,Virginia,FREDERICKSBURG CITY,38.299272,-77.486658,29474.0,2018,179,911.0,6846.712356653321,607.3149216258397,3090.8597407884918
VA,Virginia,GALAX CITY,36.66564,-80.914308,6770.0,661,19,309.0,9763.663220088627,280.6499261447563,4564.254062038404
VA,Virginia,GILES,37.319592166666666,-80.73891983333334,16385.0,301,23,209.0,1837.0460787305462,140.37229173024107,1275.5569118095818
VA,Virginia,GLOUCESTER,37.4098125,-76.52673250000001,40826.0,563,28,415.0,1379.0231715083526,68.5837456522804,1016.5090873462989
VA,Virginia,GOOCHLAND,37.766519,-77.88962649999999,28243.0,154,33,144.0,545.2678539815175,116.84311156746804,509.8608504762242
VA,Virginia,GRAYSON,36.656303,-81.225337,15404.0,385,17,131.0,2499.3508179693586,110.36094520903661,850.4284601402233
VA,Virginia,GREENE,38.291744,-78.4450315,21705.0,540,13,215.0,2487.90601243953,59.894033632803506,990.5551716194425
VA,Virginia,GREENSVILLE,36.710924,-77.5336475,11136.0,283,24,72.0,2541.307471264368,215.51724137931035,646.551724137931
VA,Virginia,HALIFAX,36.75383075,-78.93260550000001,33527.0,901,68,379.0,2687.3862856801984,202.82160646643007,1130.4321889820146
VA,Virginia,HAMPTON CITY,37.04803,-76.297149,138100.0,4693,343,4007.0,3398.2621288921073,248.37074583635047,2901.520637219406
VA,Virginia,HANOVER,37.760165,-77.490992,116390.0,3020,238,1006.0,2594.724632700404,204.48492138499873,864.3354240054987
VA,Virginia,HARRISONBURG CITY,38.450462,-78.86833,51270.0,2414,138,874.0,4708.406475521748,269.16325336454065,1704.7006046420909
VA,Virginia,HENRICO,37.613527500000004,-77.22297825,337305.0,9687,590,7084.0,2871.881531551563,174.9158773217118,2100.176398215265
VA,Virginia,HENRY,36.680803499999996,-79.9361165,49707.0,1420,101,586.0,2856.7404993260507,203.1906974872754,1178.908403243004
VA,Virginia,HIGHLAND,38.087001,-79.686299,2391.0,21,3,18.0,878.293601003764,125.47051442910914,752.8230865746549
VA,Virginia,HOPEWELL CITY,37.29101,-77.298944,22843.0,550,88,471.0,2407.7397889944405,385.23836623911046,2061.9008011206934
VA,Virginia,ISLE OF WIGHT,36.8475465,-76.77992925000001,41723.0,918,78,297.0,2200.2252954006185,186.94724732162118,711.8375955707883
VA,Virginia,JAMES CITY,37.324427,-76.778319,84743.0,1116,114,759.0,1316.922931687573,134.52438549496713,895.6491981638601
VA,Virginia,KING AND QUEEN,37.71437,-76.901863,6817.0,61,10,32.0,894.8217691066452,146.69209329617132,469.41469854774823
VA,Virginia,KING GEORGE,38.2716175,-77.1711985,29400.0,466,49,245.0,1585.0340136054422,166.66666666666669,833.3333333333334
VA,Virginia,KING WILLIAM,37.70826,-77.091054,19566.0,225,30,92.0,1149.9540018399264,153.32720024532352,470.2034140856588
VA,Virginia,LANCASTER,37.72583533333333,-76.43061266666668,9563.0,248,38,51.0,2593.328453414201,397.3648436683049,533.3054480811461
VA,Virginia,"LANCASTER, NORTHUMBERLAND",37.703831,-76.413199,1444.0,36,5,32.0,2493.0747922437677,346.26038781163436,2216.06648199446
VA,Virginia,LEE,36.701721,-83.130112,21793.0,906,31,246.0,4157.298215023173,142.2475106685633,1128.8028265956957
VA,Virginia,LEXINGTON CITY,37.782332,-79.44432,7656.0,101,11,35.0,1319.226750261233,143.67816091954023,457.1577847439916
VA,Virginia,LOUDOUN,39.084328,-77.60546919999999,444409.0,5073,434,3229.0,1141.5160359038632,97.65778820860965,726.5829449898629
VA,Virginia,LOUISA,37.91741133333333,-77.92777866666667,42505.0,377,33,324.0,886.9544759440066,77.63792495000588,762.2632631455124
VA,Virginia,LUNENBURG,36.945757,-78.242313,12162.0,117,23,61.0,962.0128268376911,189.1136326262128,501.5622430521296
VA,Virginia,LYNCHBURG CITY,37.399016,-79.195458,80339.0,3671,290,1412.0,4569.387221648265,360.9703879809308,1757.5523718243942
VA,Virginia,MADISON,38.453166499999995,-78.10163800000001,14328.0,303,22,97.0,2114.7403685092127,153.54550530429927,676.9960915689559
VA,Virginia,MANASSAS CITY,38.748627,-77.46407,43028.0,1760,119,824.0,4090.3597657339405,276.56409779678347,1915.0320721390724
VA,Virginia,MANASSAS PARK CITY,38.78205,-77.47365,16228.0,277,13,127.0,1706.9263002218386,80.10845452304659,782.5979788020704
VA,Virginia,MARTINSVILLE CITY,36.683527,-79.863647,13968.0,912,56,169.0,6529.209621993127,400.91638029782354,1209.9083619702176
VA,Virginia,MATHEWS,37.425348,-76.268808,8579.0,99,9,68.0,1153.9806504254575,104.90733185685977,792.6331740296071
VA,Virginia,MECKLENBURG,36.712413999999995,-78.34429200000001,31009.0,678,66,344.0,2186.461994904705,212.8414331323164,1109.355348447225
VA,Virginia,MIDDLESEX,37.606975,-76.528082,11115.0,374,12,92.0,3364.822312190733,107.96221322537112,827.7103013945118
VA,Virginia,MONTGOMERY,37.1570802,-80.3955524,99128.0,2128,151,1341.0,2146.719393107901,152.32830280041966,1352.796384472601
