,county,state,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Female,Male,Total population
733,Starr County,Texas,0.083,0.09699999999999999,0.083,0.091,0.08,0.12300000000000001,0.11599999999999999,0.11,0.047,0.043,0.071,0.044000000000000004,0.011000000000000001,0.508,0.49200000000000005,66587.0
734,Stearns County,Minnesota,0.064,0.067,0.065,0.08,0.102,0.125,0.128,0.09300000000000001,0.051,0.057999999999999996,0.09699999999999999,0.048,0.021,0.498,0.502,163997.0
735,Steuben County,New York,0.053,0.057,0.063,0.059000000000000004,0.052000000000000005,0.12,0.122,0.11800000000000001,0.06,0.08,0.128,0.067,0.022000000000000002,0.501,0.499,92015.0
736,Story County,Iowa,0.042,0.042,0.05,0.129,0.203,0.135,0.1,0.08199999999999999,0.040999999999999995,0.037000000000000005,0.08199999999999999,0.045,0.012,0.48200000000000004,0.518,102498.0
737,Strafford County,New Hampshire,0.046,0.05,0.044000000000000004,0.091,0.084,0.13699999999999998,0.122,0.113,0.044000000000000004,0.081,0.111,0.065,0.011000000000000001,0.507,0.493,134202.0
738,Suffolk County,Massachusetts,0.048,0.04,0.043,0.07200000000000001,0.09699999999999999,0.217,0.141,0.102,0.053,0.049,0.08,0.043,0.015,0.518,0.48200000000000004,793144.0
739,Suffolk County,New York,0.053,0.055999999999999994,0.057999999999999996,0.063,0.064,0.12300000000000001,0.121,0.126,0.073,0.073,0.10800000000000001,0.059000000000000004,0.023,0.504,0.496,1535909.0
740,Suffolk city,Virginia,0.062,0.053,0.08,0.055,0.061,0.136,0.14,0.122,0.057999999999999996,0.075,0.09699999999999999,0.048,0.013999999999999999,0.516,0.484,103105.0
741,Sullivan County,New York,0.061,0.059000000000000004,0.055999999999999994,0.061,0.047,0.11900000000000001,0.138,0.12,0.055999999999999994,0.081,0.11900000000000001,0.063,0.02,0.48100000000000004,0.519,80450.0
742,Sullivan County,Tennessee,0.046,0.048,0.057999999999999996,0.057,0.051,0.125,0.115,0.134,0.071,0.07,0.128,0.085,0.013999999999999999,0.509,0.491,162703.0
743,Summit County,Ohio,0.052000000000000005,0.055,0.06,0.057999999999999996,0.057999999999999996,0.135,0.13,0.11599999999999999,0.06,0.075,0.11900000000000001,0.064,0.019,0.515,0.485,538370.0
744,Sumner County,Tennessee,0.057,0.064,0.065,0.057999999999999996,0.061,0.122,0.14300000000000002,0.128,0.071,0.063,0.099,0.051,0.018000000000000002,0.512,0.488,211721.0
745,Sumter County,Florida,0.009000000000000001,0.012,0.036000000000000004,0.02,0.023,0.045,0.08,0.066,0.05,0.091,0.27,0.263,0.035,0.509,0.491,154693.0
746,Sumter County,South Carolina,0.069,0.068,0.057999999999999996,0.066,0.069,0.141,0.13,0.095,0.057,0.063,0.105,0.057,0.021,0.511,0.489,104776.0
747,Surry County,North Carolina,0.045,0.069,0.057,0.055999999999999994,0.059000000000000004,0.114,0.10099999999999999,0.145,0.063,0.086,0.115,0.064,0.026000000000000002,0.527,0.473,71547.0
748,Sussex County,Delaware,0.046,0.046,0.051,0.052000000000000005,0.046,0.08800000000000001,0.099,0.096,0.062,0.09699999999999999,0.195,0.095,0.027000000000000003,0.521,0.479,271134.0
749,Sussex County,New Jersey,0.05,0.048,0.06,0.057,0.055,0.11800000000000001,0.131,0.127,0.08,0.078,0.12,0.059000000000000004,0.017,0.493,0.507,147444.0
750,Sutter County,California,0.052000000000000005,0.077,0.068,0.064,0.066,0.11599999999999999,0.13699999999999998,0.115,0.048,0.07400000000000001,0.105,0.064,0.013000000000000001,0.496,0.504,98545.0
751,Talladega County,Alabama,0.057,0.049,0.07,0.067,0.035,0.11699999999999999,0.141,0.127,0.076,0.061,0.124,0.057999999999999996,0.018000000000000002,0.519,0.48100000000000004,81375.0
752,Tangipahoa Parish,Louisiana,0.067,0.059000000000000004,0.07200000000000001,0.085,0.065,0.128,0.134,0.115,0.053,0.06,0.10099999999999999,0.052000000000000005,0.009000000000000001,0.512,0.488,139823.0
753,Tarrant County,Texas,0.063,0.064,0.075,0.073,0.069,0.151,0.14300000000000002,0.12300000000000001,0.055999999999999994,0.055,0.079,0.039,0.011000000000000001,0.509,0.491,2230708.0
754,Taylor County,Texas,0.057999999999999996,0.06,0.081,0.078,0.114,0.135,0.126,0.102,0.039,0.054000000000000006,0.091,0.043,0.02,0.501,0.499,148813.0
755,Tazewell County,Illinois,0.047,0.05,0.07200000000000001,0.061,0.054000000000000006,0.128,0.134,0.12300000000000001,0.062,0.064,0.11699999999999999,0.057,0.031,0.5,0.5,129821.0
756,Tehama County,California,0.057,0.079,0.057,0.071,0.051,0.111,0.131,0.106,0.055999999999999994,0.079,0.11,0.071,0.02,0.506,0.494,64451.0
757,Terrebonne Parish,Louisiana,0.057,0.079,0.063,0.06,0.053,0.122,0.147,0.11699999999999999,0.066,0.055999999999999994,0.11,0.051,0.019,0.503,0.49700000000000005,103864.0
758,Thurston County,Washington,0.05,0.054000000000000006,0.061,0.057,0.053,0.14400000000000002,0.15,0.11900000000000001,0.051,0.068,0.113,0.061,0.019,0.506,0.494,302912.0
759,Tippecanoe County,Indiana,0.052000000000000005,0.057,0.057,0.115,0.157,0.139,0.10400000000000001,0.102,0.044000000000000004,0.044000000000000004,0.075,0.037000000000000005,0.015,0.488,0.512,191650.0
760,Toa Alta Municipio,Puerto Rico,0.027999999999999997,0.035,0.053,0.057999999999999996,0.07,0.141,0.14800000000000002,0.141,0.078,0.063,0.10400000000000001,0.061,0.02,0.521,0.479,66100.0
761,Toa Baja Municipio,Puerto Rico,0.028999999999999998,0.028999999999999998,0.057999999999999996,0.048,0.076,0.14300000000000002,0.128,0.127,0.055999999999999994,0.073,0.113,0.083,0.037000000000000005,0.532,0.46799999999999997,71332.0
762,Tom Green County,Texas,0.06,0.066,0.06,0.07400000000000001,0.084,0.138,0.14,0.10400000000000001,0.047,0.055999999999999994,0.098,0.06,0.012,0.505,0.495,120103.0
763,Tompkins County,New York,0.028999999999999998,0.035,0.043,0.132,0.179,0.11800000000000001,0.105,0.087,0.034,0.065,0.10099999999999999,0.054000000000000006,0.019,0.529,0.47100000000000003,105602.0
764,Tooele County,Utah,0.065,0.084,0.083,0.1,0.071,0.128,0.15,0.138,0.047,0.045,0.057,0.027999999999999997,0.004,0.484,0.516,84488.0
765,Travis County,Texas,0.055999999999999994,0.052000000000000005,0.053,0.061,0.064,0.19399999999999998,0.17,0.132,0.052000000000000005,0.048,0.073,0.034,0.01,0.486,0.514,1363767.0
766,Troup County,Georgia,0.061,0.07400000000000001,0.07200000000000001,0.059000000000000004,0.063,0.138,0.11800000000000001,0.133,0.043,0.073,0.09699999999999999,0.051,0.017,0.522,0.478,71513.0
767,Trujillo Alto Municipio,Puerto Rico,0.023,0.038,0.047,0.046,0.063,0.151,0.13699999999999998,0.128,0.07200000000000001,0.062,0.11699999999999999,0.08800000000000001,0.027999999999999997,0.528,0.47200000000000003,66816.0
768,Trumbull County,Ohio,0.05,0.055,0.063,0.057999999999999996,0.057999999999999996,0.11900000000000001,0.12,0.111,0.064,0.073,0.133,0.069,0.028999999999999998,0.503,0.49700000000000005,200300.0
769,Tulare County,California,0.07,0.076,0.08900000000000001,0.086,0.073,0.138,0.13699999999999998,0.109,0.045,0.052000000000000005,0.075,0.039,0.011000000000000001,0.499,0.501,483546.0
770,Tulsa County,Oklahoma,0.063,0.067,0.071,0.07,0.067,0.14300000000000002,0.138,0.115,0.055,0.053,0.09300000000000001,0.048,0.016,0.508,0.49200000000000005,693514.0
771,Tuscaloosa County,Alabama,0.052000000000000005,0.066,0.049,0.11,0.11800000000000001,0.129,0.12300000000000001,0.107,0.044000000000000004,0.057999999999999996,0.08800000000000001,0.039,0.017,0.52,0.48,241212.0
772,Tuscarawas County,Ohio,0.055999999999999994,0.08,0.055999999999999994,0.057999999999999996,0.055999999999999994,0.12,0.11599999999999999,0.11900000000000001,0.067,0.061,0.121,0.066,0.022000000000000002,0.494,0.506,92048.0
773,Twin Falls County,Idaho,0.059000000000000004,0.064,0.08199999999999999,0.075,0.064,0.133,0.134,0.109,0.057,0.055999999999999994,0.098,0.044000000000000004,0.025,0.503,0.49700000000000005,96509.0
774,Ulster County,New York,0.040999999999999995,0.046,0.044000000000000004,0.057,0.068,0.11900000000000001,0.132,0.127,0.066,0.076,0.13,0.07,0.025,0.501,0.499,182977.0
