yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
20462024,2046,2024,CO0500000,CO0500000,,N,N,,I,PROWERS,PROWERS,Prowers,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,3855,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,9,16,25,1,6,7,2.6,8.3,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,PROWERS,Not Specified,Y,Y,Y
20472024,2047,2024,CO0500100,CO0500100,,N,N,,I,LAMAR,LAMAR,Lamar,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,7468,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,2,16,2,13,15,2.1,4.2,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,PROWERS,Not Specified,Y,Y,Y
20492024,2049,2024,CO0500400,CO0500400,,N,N,,I,GRANADA,GRANADA,Granada,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,435,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,2,2,2.3,6.9,1992-01-01,2021-01-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,N,PROWERS,Not Specified,Y,Y,Y
20502024,2050,2024,CO0510000,CO0510000,,N,N,,I,PUEBLO,PUEBLO,Pueblo,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,60352,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,91,83,174,35,113,148,2.1,5.3,1992-01-01,2012-01-01,2012-10-01,2014-02-01,2016-01-01,2013-04-01,N,PUEBLO,"Pueblo, CO",Y,Y,Y
20512024,2051,2024,CO0510100,CO0510100,,N,N,,I,PUEBLO,PUEBLO,Pueblo,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,110805,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,161,17,178,25,54,79,1.7,2.3,1992-01-01,2009-01-01,2010-03-01,2014-03-01,2016-01-01,2013-04-01,N,PUEBLO,"Pueblo, CO",Y,Y,Y
20522024,2052,2024,CO0510200,CO0510200,,N,N,,I,CO MENTAL HEALTH INSTITU,CO MENTAL HEALTH INSTITU,Colorado Mental Health Institute,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,Other State Agency,0,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,10,30,40,0,32,32,0,0,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,PUEBLO,"Pueblo, CO",Y,Y,Y
20542024,2054,2024,CO0520000,CO0520000,,N,N,,I,RIO BLANCO,RIO BLANCO,Rio Blanco,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,1991,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,9,1,10,0,8,8,4.5,9.0,1992-01-01,1997-01-01,2003-03-01,2014-04-01,2016-01-01,2014-02-01,N,RIO BLANCO,Not Specified,Y,Y,Y
20552024,2055,2024,CO0520100,CO0520100,,N,N,,I,MEEKER,MEEKER,Meeker,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,2367,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,0,2,2,2.5,3.4,1992-01-01,1997-01-01,2011-08-01,2014-02-01,2016-01-01,2013-04-01,N,RIO BLANCO,Not Specified,Y,Y,Y
20562024,2056,2024,CO0520200,CO0520200,,N,N,,I,RANGELY,RANGELY,Rangely,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,2281,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,2,7,0,6,6,2.2,5.7,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,RIO BLANCO,Not Specified,Y,Y,Y
20572024,2057,2024,CO0530000,CO0530000,,N,N,,I,RIO GRANDE,RIO GRANDE,Rio Grande,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,5204,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,11,11,22,2,11,13,2.5,6.7,1992-01-01,1997-01-01,2003-04-01,2014-02-01,2016-01-01,2013-04-01,N,RIO GRANDE,Not Specified,Y,Y,Y
