data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,16,198398946,27.140,1,19804274
2024,1,198398883,0.270,1,19804268
2024,1,198396947,1.520,1,19803943
2024,12,198396947,72.160,1,19803944
2024,16,198396947,9.970,1,19803945
2024,2,198397001,0.020,1,19803950
2024,12,198396984,11.820,1,19803946
2024,12,198398975,7.120,1,19804277
2024,16,198398993,4.000,9,19804280
2024,12,198396891,0.290,1,19803934
2024,12,198396856,1.420,1,19803930
2024,16,198396907,1.350,1,19803936
2024,12,198398941,19.070,1,19804273
2024,12,198398935,33.260,1,19804272
2024,12,198398977,1.140,1,19804278
2024,12,198396861,4.860,1,19803933
2024,2,198398880,126.080,1,19804267
2024,12,198399002,0.070,1,19804281
2024,2,198397014,0.240,1,19803951
2024,2,198396859,3.510,1,19803931
2024,12,198396859,3.770,1,19803932
2024,12,196536583,25.300,1,19524323
2024,12,179952192,5.012,1,17094406
2024,1,179952268,3.650,1,17094407
2024,17,181245899,1.000,3,17280439
2024,8,181245910,0.018,1,17280440
2024,12,182775356,252.700,1,17513316
2024,5,184667876,6.006,1,17805024
2024,5,184667907,0.010,1,17805030
2024,2,184667920,1.350,1,17805031
2024,12,184667920,75.450,1,17805032
2024,5,184667938,12.390,1,17805033
2024,7,184667940,2.570,1,17805034
2024,12,184667940,1.520,1,17805035
2024,12,188030320,1.160,1,18316879
2024,7,188030677,1.000,1,18316911
2024,15,186719825,0.752,1,18113956
2024,16,186719829,0.593,1,18113957
2024,8,187222239,33.000,1,18194857
2024,12,186719959,28.140,1,18113972
2024,12,188033065,2.224,1,18317073
2024,12,189188275,0.604,1,18489174
2024,5,189188318,2.350,1,18489175
2024,16,190656612,1.000,1,18701614
2024,12,190656637,0.520,1,18701616
2024,15,190656637,1.330,1,18701617
2024,12,190656643,0.434,1,18701618
2024,5,192047706,24.010,1,18901238
2024,12,192047722,3.960,1,18901241
2024,16,192047748,5.230,1,18901242
2024,12,194828826,2.360,1,19295526
2024,7,184699033,3.000,9,17809110
2024,5,179810015,1.000,1,17076655
2024,8,180793338,14.000,9,17211816
2024,2,182857093,1.000,1,17525445
2024,12,184678184,1.800,1,17806543
2024,11,191426507,4.000,1,18816988
2024,12,180408020,35.000,9,17156557
2024,8,181101158,9.000,9,17259743
2024,12,182036087,1.000,1,17401832
2024,12,182037008,4.000,1,17401920
2024,12,182036065,14.000,1,17401829
2024,2,181996972,28.000,1,17395959
2024,12,181996972,3.000,1,17395960
2024,11,182371307,45.000,1,17446469
2024,5,181037585,513.000,1,17249504
2024,12,181071199,4.800,1,17255827
2024,16,181071199,22.200,1,17255828
2024,5,181219330,1.000,1,17276782
2024,1,182370241,11.000,1,17446276
2024,12,182370241,24.000,1,17446277
2024,12,184472271,28.800,1,17772083
2024,14,185335298,50.000,1,17911037
2024,12,186627319,9.900,1,18100152
2024,5,186627610,5.000,1,18100242
2024,2,186879319,0.800,1,18137103
2024,12,186879319,0.400,1,18137104
2024,2,187620303,28.200,1,18253057
2024,12,187620303,28.600,1,18253058
2024,7,187446074,166.700,1,18225947
2024,12,187446074,83.500,1,18225948
2024,12,187592348,1.000,9,18249692
2024,11,188078205,1.000,9,18322857
2024,12,188207374,3.700,1,18341725
2024,8,188207379,4.700,1,18341727
2024,12,188207379,1.700,1,18341728
2024,12,189057277,5.000,1,18471862
2024,2,189326350,4.000,1,18512597
2024,5,189244263,199.600,1,18496986
2024,12,190284571,4.000,1,18645780
2024,1,190929432,1.000,1,18741255
2024,8,191869832,1.900,1,18880360
2024,12,191869832,2.000,1,18880361
