data_year,weapon_id,offense_id,nibrs_weapon_id
2024,38,245818034,
2024,5,246320775,
2024,38,245818203,
2024,41,245818197,
2024,38,245818026,
2024,5,245815406,
2024,39,245815371,
2024,38,245815474,
2024,39,245815383,
2024,38,245818002,
2024,39,245818169,
2024,41,245815442,
2024,5,245815478,
2024,39,245815495,
2024,5,245815517,
2024,1,245815524,
2024,41,245815451,
2024,38,245818056,
2024,5,245815416,
2024,39,245384300,
2024,5,246183366,
2024,39,245818030,
2024,5,245818059,
2024,39,245818019,
2024,39,245818065,
2024,42,245818063,
2024,41,245818038,
2024,5,246184103,
2024,41,245815367,
2024,41,245815467,
2024,5,245815405,
2024,41,245818029,
2024,41,245815400,
2024,21,245815535,
2024,41,245815329,
2024,36,245815475,
2024,38,245818044,
2024,5,245815530,
2024,39,245815454,
2024,41,245815452,
2024,41,245815348,
2024,38,245815553,
2024,41,245818036,
2024,41,245818173,
2024,39,245815333,
2024,38,245815463,
2024,5,245815529,
2024,21,245815440,
2024,41,245818060,
2024,39,245815450,
2024,38,245815507,
2024,41,245815379,
2024,31,245815401,
2024,5,245815352,
2024,38,245815394,
2024,38,245815412,
2024,5,245815542,
2024,41,246183851,
2024,41,245815547,
2024,39,245818190,
2024,1,245815486,
2024,38,245818170,
2024,41,245815460,
2024,42,245815337,
2024,39,245383410,
2024,1,220593697,
2024,38,224460612,
2024,41,220679487,
2024,41,220679533,
2024,41,220679544,
2024,41,220679552,
2024,41,220679609,
2024,41,220679652,
2024,41,222388567,
2024,39,222388568,
2024,41,224460615,
2024,41,222388580,
2024,9,222388586,
2024,5,222388591,
2024,37,222388603,
2024,41,222388611,
2024,41,222388612,
2024,39,222388617,
2024,41,224460619,
2024,21,224460642,
2024,41,224460651,
2024,41,224460665,
2024,41,224460724,
2024,39,224460729,
2024,41,224460734,
2024,41,224460742,
2024,41,224460744,
2024,38,224460751,
2024,41,227031879,
2024,38,227031889,
2024,41,227976162,
2024,41,227031911,
2024,41,227031918,
2024,38,227031921,
2024,41,227031923,
2024,41,227031924,
2024,41,227976175,
2024,41,237173768,
2024,42,227976176,
2024,21,227976181,
2024,41,227976182,
2024,41,227976185,
2024,38,227976187,
2024,41,227976190,
2024,41,227976197,
2024,41,227976198,
2024,31,227976215,
2024,41,229832197,
2024,41,229832201,
2024,41,227976229,
2024,41,227976232,
2024,41,227976233,
2024,41,227976236,
2024,41,231670189,
2024,41,227976242,
2024,41,233237053,
2024,21,229832216,
2024,41,229832248,
2024,41,229832304,
2024,41,235256448,
2024,5,235256449,
2024,31,229832371,
2024,41,230522913,
2024,41,231671584,
2024,38,231672134,
2024,41,235256450,
2024,41,231672266,
2024,42,231672291,
2024,21,235256451,
2024,41,231672298,
2024,38,233237056,
2024,5,231672315,
2024,5,231672320,
2024,17,231672322,
2024,41,231672332,
2024,41,231672334,
2024,41,231672335,
2024,21,231672340,
2024,41,233237105,
2024,31,233237141,
2024,21,233237183,
2024,41,233237191,
2024,41,233237205,
2024,41,233237210,
2024,41,233237227,
2024,41,233237233,
2024,41,233237240,
2024,41,235256473,
2024,41,235256474,
2024,38,244763662,
2024,38,235256487,
2024,41,235256492,
2024,41,235256497,
2024,41,238801726,
2024,42,235256511,
2024,42,235256513,
2024,41,235256520,
2024,21,242933643,
2024,41,237173803,
2024,41,237173829,
2024,41,237173830,
2024,41,237173831,
2024,41,237173832,
2024,42,240946474,
2024,39,237173857,
2024,41,237173868,
2024,41,238801740,
2024,41,237173869,
2024,21,240946482,
2024,38,240946485,
2024,41,238801806,
2024,41,238801808,
2024,41,238801812,
2024,41,240946494,
2024,38,240946497,
2024,41,238801835,
2024,41,240946509,
2024,41,240946514,
2024,1,240946552,
2024,38,240946556,
2024,41,240946564,
2024,41,240946559,
2024,41,242933653,
2024,41,242933654,
2024,41,240946575,
2024,41,240946577,
2024,41,240946578,
2024,41,240946579,
2024,41,242933662,
2024,41,240946591,
2024,41,244763679,
2024,41,244763692,
2024,41,222518238,
2024,41,220705060,
2024,41,223937281,
2024,38,223938993,
2024,41,223937946,
2024,41,224177923,
2024,41,224178825,
2024,41,224178631,
2024,5,224460925,
2024,41,229382492,
2024,41,229712096,
2024,41,230082029,
2024,41,230107849,
2024,41,230082260,
2024,41,230082285,
2024,41,230115677,
2024,41,230578545,
2024,41,230831712,
2024,41,230806999,
2024,21,230831719,
2024,41,231931761,
2024,41,236266038,
2024,41,235152793,
2024,41,235155930,
2024,41,236386778,
2024,41,236307575,
2024,41,236426359,
2024,41,236458245,
2024,41,236458231,
2024,41,236458172,
2024,41,238905625,
2024,41,236887804,
2024,41,236890913,
2024,38,236890625,
2024,41,238905639,
2024,41,238905657,
2024,38,236445503,
2024,41,236445217,
2024,41,240989323,
2024,41,241676347,
2024,41,241672547,
2024,41,241499547,
2024,41,241693352,
2024,41,241502032,
2024,41,241497833,
2024,41,241497852,
2024,41,244472690,
2024,41,241097012,
2024,41,240980906,
2024,41,238905605,
2024,41,240979851,
2024,41,241714485,
2024,41,241710898,
2024,41,224324650,
2024,41,227058069,
2024,41,226755654,
2024,41,227698174,
2024,41,229776192,
2024,41,229699183,
2024,32,231495505,
2024,7,232877887,
2024,7,232877888,
2024,41,234686493,
2024,41,238696065,
2024,41,239023885,
2024,41,220540667,
2024,5,221286814,
2024,41,221886585,
2024,41,222193481,
2024,41,223463285,
2024,41,224469021,
2024,41,226756975,
2024,41,226761368,
2024,41,228038773,
2024,41,228038776,
2024,5,230262691,
2024,41,230586239,
2024,41,230831765,
2024,41,230968000,
2024,41,230968002,
2024,41,230968007,
2024,21,231493103,
2024,41,231493637,
2024,38,233067398,
2024,41,233426453,
2024,41,233426609,
2024,41,233426610,
2024,41,235580350,
2024,41,235604661,
2024,41,236924147,
2024,41,236924165,
2024,41,236924240,
2024,41,238930007,
2024,5,238930008,
2024,41,240640974,
2024,5,239226538,
2024,41,239155060,
2024,38,223464454,
2024,5,223464406,
2024,38,223462398,
2024,41,223477627,
2024,5,239155935,
2024,41,223409142,
2024,41,229822740,
2024,41,222579294,
2024,41,229822035,
2024,41,229822050,
2024,41,234201196,
2024,41,236883265,
2024,41,236929132,
2024,41,237172555,
2024,5,237174316,
2024,41,236280022,
2024,41,237174851,
2024,41,244327466,
2024,41,243321675,
2024,41,242236932,
2024,32,219199404,
2024,17,219230202,
2024,41,231042397,
2024,5,222154111,
2024,41,222346281,
2024,41,222242868,
2024,5,224622784,
2024,5,224622786,
2024,41,231042386,
2024,32,226764732,
2024,31,229569011,
2024,41,230581235,
2024,41,228458822,
2024,5,230052758,
2024,41,231077803,
2024,41,231505312,
2024,41,231505313,
2024,41,231428670,
2024,41,236297649,
2024,31,232619229,
2024,41,232619230,
2024,42,233722444,
2024,41,233722445,
2024,41,233308617,
2024,41,234797859,
2024,41,236297942,
2024,41,234646096,
2024,41,234724411,
2024,41,234904791,
2024,41,235870711,
2024,41,235870716,
2024,41,236297949,
2024,41,238577503,
2024,41,240664489,
2024,41,240644966,
2024,32,235273393,
2024,41,221833117,
2024,41,222106839,
2024,41,221822252,
2024,41,221822521,
2024,41,240134915,
2024,41,229560209,
2024,41,240134930,
2024,41,240133964,
2024,5,220479770,
2024,41,220479780,
2024,41,220479826,
2024,31,220520964,
2024,41,220521042,
2024,41,221912043,
2024,41,222195755,
2024,41,223005741,
2024,5,223007534,
2024,41,223007534,
2024,5,223007535,
2024,5,223478475,
2024,21,224711309,
2024,5,224632242,
2024,41,224711328,
2024,32,227975645,
2024,41,229308086,
2024,13,233617003,
2024,13,234387597,
2024,38,234391252,
2024,41,235248401,
2024,41,236458235,
2024,32,236458241,
2024,9,236739792,
2024,41,236781909,
2024,38,236781909,
2024,41,236755046,
2024,41,238437228,
2024,41,240389082,
2024,32,240389755,
2024,41,241765593,
2024,41,225435386,
2024,41,228676248,
2024,41,225435480,
2024,38,228604555,
2024,41,225435692,
2024,41,225435460,
2024,41,229149931,
2024,36,229149931,
2024,13,229307636,
2024,1,229411582,
2024,5,218193940,
2024,5,240979924,
2024,41,220680156,
2024,41,220680159,
2024,5,220680164,
2024,5,224563698,
2024,39,229775605,
2024,41,224563701,
2024,41,222560482,
2024,5,222560480,
2024,41,222560481,
2024,5,224563716,
2024,38,227031771,
2024,5,224563726,
2024,5,224563730,
2024,38,224563732,
2024,41,227031802,
2024,41,227978898,
2024,13,227978895,
2024,41,227978889,
2024,41,227978897,
2024,31,227978903,
2024,21,227978904,
