data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,62901269,,51
2024,62900529,,52
2024,62900530,,51
2024,62901264,,51
2024,62901265,,51
2024,62901274,,51
2024,62900767,,51
2024,62900541,,51
2024,62901485,,51
2024,62900807,,5
2024,62901260,,51
2024,62901262,,51
2024,62901255,,51
2024,62901259,,51
2024,62901489,,51
2024,62900550,,51
2024,62900768,,51
2024,62900811,,51
2024,62900551,,51
2024,62901280,,51
2024,62901466,,51
2024,62900549,,51
2024,62901599,,51
2024,62901600,,51
2024,62901272,,51
2024,62901281,,51
2024,62901474,,5
2024,62901473,,5
2024,62901287,,51
2024,62901288,,51
2024,62900553,,51
2024,62900554,,51
2024,62901476,,51
2024,62901604,,51
2024,62900802,,51
2024,62900803,,51
2024,62900804,,51
2024,62900805,,51
2024,62900514,,51
2024,62901258,,51
2024,62901608,,51
2024,62900794,,51
2024,62900525,,51
2024,62900788,,5
2024,62901275,,51
2024,62900526,,51
2024,62901284,,51
2024,62901603,,51
2024,62901602,,51
2024,63638865,,51
2024,63638866,,51
2024,63638867,,51
2024,63638868,,51
2024,62901277,,51
2024,62900783,,51
2024,62900778,,51
2024,62901617,,51
2024,62901621,,51
2024,62902310,,52
2024,62903128,,51
2024,62902305,,51
2024,62902306,,51
2024,63387888,,51
2024,62903171,,51
2024,62903173,,51
2024,62901624,,5
2024,62902302,,51
2024,62902156,,51
2024,62902294,,51
2024,62902296,,51
2024,62902121,,51
2024,62902061,,51
2024,62903160,,51
2024,62902049,,51
2024,62902050,,51
2024,62902051,,5
2024,62902043,,51
2024,62902045,,51
2024,62902127,,51
2024,62903148,,51
2024,62902054,,51
2024,62902119,,51
2024,62902120,,51
2024,62903142,,51
2024,62903157,,51
2024,62901620,,51
2024,62902122,,52
2024,62902122,,53
2024,62902123,,51
2024,62901612,,51
2024,62902136,,51
2024,62903141,,51
2024,62903147,,52
2024,62903147,,53
2024,62902066,,51
2024,62902076,,51
2024,62903149,,51
2024,62903150,,51
2024,62902157,,51
2024,62902065,,51
2024,62902311,,51
2024,62902312,,51
2024,62902082,,5
2024,62903136,,51
2024,62902075,,51
2024,62902143,,51
2024,62901616,,51
2024,62902064,,52
2024,62902052,,51
2024,62902303,,51
2024,62902069,,52
2024,62902042,,51
2024,62902298,,51
2024,62903127,,51
2024,62902129,,51
2024,62902134,,5
2024,62903188,,51
2024,62902057,,51
2024,62902058,,51
2024,62902293,,51
2024,62902141,,51
2024,62902131,,51
2024,62903151,,51
2024,62903161,,51
2024,62902309,,51
2024,62903146,,51
2024,62903131,,51
2024,62903187,,51
2024,62903169,,51
2024,62902152,,5
2024,62903143,,51
2024,62902160,,51
2024,62902159,,51
2024,62902145,,51
2024,62901614,,51
2024,62902153,,51
2024,62902304,,51
2024,62902144,,51
2024,63025872,,51
2024,63025873,,51
2024,63025874,,5
2024,62901623,,51
2024,62902308,,51
2024,62902307,,51
2024,63025918,,51
2024,62902062,,51
2024,62902044,,51
2024,62902297,,51
2024,62902074,,51
2024,62902301,,51
2024,62902132,,51
2024,62901622,,1
2024,62902300,,51
2024,62902295,,51
2024,62902071,,51
2024,62902056,,51
2024,62902046,,51
2024,62902135,,5
2024,62902078,,51
2024,62902299,,51
2024,62901618,,51
2024,62901613,,51
2024,62903163,,51
2024,62902060,,51
2024,62902040,,5
2024,63383884,,51
2024,63387344,,51
2024,63384115,,51
2024,63384130,,51
2024,63383888,,51
2024,63383567,,51
2024,63383876,,51
2024,63384140,,51
2024,63387339,,51
2024,63383874,,51
2024,63387462,,5
2024,63638869,,51
2024,62903195,,51
2024,63384169,,51
2024,63383572,,51
2024,63384137,,51
2024,63383881,,51
2024,63384117,,51
2024,63384118,,51
2024,63383570,,51
2024,63383571,,51
2024,63384154,,51
2024,63384160,,51
2024,63383556,,51
2024,63387331,,51
2024,63384125,,51
2024,63387329,,51
2024,63387330,,51
2024,63383886,,51
2024,63383565,,51
2024,63383566,,51
2024,63387470,,51
2024,63383575,,51
2024,63383871,,51
2024,63383557,,51
2024,63387466,,51
2024,63387356,,51
2024,63383574,,51
2024,63383563,,52
2024,63383892,,51
2024,63387359,,51
